id,priority,category,intervention,evidence_status,eric_relevance,doctor_question,key_sources
MED-001,High,Direct visual-field lead,Fluoxetine,"Small acute HH pilot signal; large general-stroke fluoxetine evidence is negative for functional recovery and shows harms.","Low for Eric's chronic 2021 right PCA stroke; possibly relevant only as a literature item for neurologist discussion.","Given FLUORESCE was acute-only and Eric is chronic, is there any reason to consider SSRI for visual recovery rather than only for depression/anxiety if clinically indicated?","FLUORESCE PMID 36166771; NCT02737930; fluoxetine IPD meta-analysis PMC11298115"
MED-002,High,Dopaminergic adjunct,Levodopa / co-careldopa,"Older small positive motor trial now outweighed by DARS 2019 and ESTREL 2025 neutral/negative motor-rehab trials.","Very low direct relevance to chronic hemianopia; no visual-field recovery evidence found.","After a no-drug training block, would a monitored levodopa adjunct ever be reasonable, or does DARS/ESTREL make this unjustified?","Scheidtmann PMID 11476841; DARS PMID 31122493; ESTREL PMID 40982270"
MED-003,Medium,Participation support,Modafinil,"Small post-stroke fatigue trial signal; not visual recovery or neuroplasticity proof.","Potentially relevant only if fatigue prevents consistent training sessions.","If neuro-fatigue is a major barrier, is modafinil appropriate and safe given Eric's vascular history, blood pressure, sleep, and current medications?","MIDAS PMC5404401; post-stroke fatigue review PMC10614171"
MED-004,Medium,Neglect/attention only,Methylphenidate,"Small neglect/prism-adaptation literature; AHA/ASA motor guideline does not recommend dextroamphetamine or methylphenidate to facilitate motor recovery.","Low unless a clinician confirms true spatial neglect or severe attention/arousal barrier distinct from HH.","Is there any diagnosed neglect/attention syndrome that would justify stimulant discussion, or should this be parked?","AHA/ASA rehab guideline PMID 27145936; methylphenidate neglect RCT literature"
MED-005,Medium,Neglect/attention only,Rotigotine,"Small proof-of-concept RCT in hemispatial neglect improved visual search/cancellation, not hemianopia.","Low unless neglect is clinically present; dopamine agonist side effects matter.","Does Eric have neglect in addition to HH? If not, is rotigotine irrelevant?","Rotigotine neglect trial PMC3407421"
MED-006,Low,Avoid / formal trial only,D-amphetamine / amphetamine,"Historic small studies with weak replication and safety concerns; stimulant class is not a casual neuroplasticity enhancer after stroke.","Not appropriate for self-directed rehab enhancement.","Should this be considered off the table outside a formal clinical trial?","Cochrane amphetamine review PMID 12917919; AHA/ASA rehab guideline PMID 27145936"
MED-007,Low,Cognition/attention,Donepezil,"Small exploratory stroke cognition/motor-adjunct studies; no HH restoration evidence.","Low for visual-field recovery; possible only if neuropsychology identifies a treatable cognitive syndrome.","Is there any objective cognitive indication for a cholinesterase inhibitor, or is this unrelated to the visual target?","Donepezil stroke trial PMID 15558381; right-hemisphere pilot PMID 21714757"
MED-008,Low,Neuroprotective/nootropic,Citicoline,"Large ICTUS acute-stroke trial neutral; Cochrane review did not show clear functional recovery benefit.","Low; not a proven enhancer for chronic visual rehab.","Is citicoline safe with current medications, and is there any reason to use it beyond low-evidence supplementation?","ICTUS PMID 22691567; Cochrane citicoline PMID 32860632"
MED-009,Low,Avoid / formal trial only,Cerebrolysin / peptides / biohacking compounds,"Some international neurorecovery literature exists, but not standard US/France visual rehab care and not specific to HH.","Very low; high risk of distraction and sourcing/safety problems.","Should nonstandard peptide or injectable compounds be excluded unless part of a regulated trial?","2024 pharmacological neurorecovery review PMC10866005"
MED-010,High,Medication cleanup,Current medication review,"Not a new drug; clinician review for drugs that worsen fatigue, cognition, sleep, balance, or visual attention is practical and lower-risk.","High as a doctor conversation because it may improve ability to train without adding an experimental enhancer.","Can we review current prescriptions/supplements for sedation, anticholinergic burden, hyponatremia risk, blood pressure effects, sleep disruption, or fall risk?","AHA/ASA rehab guideline PMID 27145936; NICE stroke rehab NG236"
